#Seed Base SBR SBR-SZA
(0,0) 5.416666667 6.125 5.5
(0,1) 5.416666667 6.041666667 6
(0,2) 5.333333333 5.958333333 5.375
(0,3) 5.416666667 6 6
(1,0) 5.416666667 6.125 5.791666667
(1,1) 5.458333333 6.125 6.125
(1,2) 5.333333333 5.916666667 5.916666667
(1,3) 5.416666667 6 6
(2,0) 5.416666667 6.125 5.708333333
(2,1) 5.458333333 6.083333333 5.916666667
(2,2) 5.333333333 5.916666667 5.875
(2,3) 5.416666667 6 6
(3,0) 5.416666667 6 5.25
(3,1) 5.458333333 6 5.25
(3,2) 5.416666667 5.875 5.833333333
(3,3) 5.416666667 5.958333333 5.958333333
(4,0) 5.416666667 5.833333333 5.375
(4,1) 5.333333333 5.708333333 5.375
(4,2) 5.375 5.75 5.291666667
(4,3) 5.416666667 5.666666667 5.666666667
(5,0) 5.416666667 5.833333333 5.375
(5,1) 5.416666667 5.833333333 5.375
(5,2) 5.333333333 5.708333333 5.25
(5,3) 5.416666667 5.666666667 5.666666667
